"ine","Ficha","Municipio","Provincia","Comarca","Total","ODS","name","value"
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods3","ods3.EV",83.4650634941014
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods4","ods4.tasaSup",23.4
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods4","ods4.Gasto_32perHab",112.33
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods5","ods5.percAtFem",58.0973952434881
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods5","ods5.indexParitat",59
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods5","ods5.percDif",-21.2
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods6","ods6.consHab",113.8
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods6","ods6.total_m3",1.447
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods6","ods6.vuln",1
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods7","ods7.gas.hab.dia",3.77
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods7","ods7.propFG",30.8
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods7","ods7.tasa.Ins",1.6
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods8","ods8.tasaParo",6.8
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods8","ods8.tasPib",6.74558436677941
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods9","ods9.percInd",16
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods9","ods9.taxEmpInd",4.2
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods10","ods10.pobr",15.9
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods10","ods10.gini",30.6
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods10","ods10.dep",59.2
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods11","ods11.indAcc",21.7
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods11","ods11.InMot1000",611.699872827469
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods11","ods11.supVerd_hab",20.06843526
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods11","ods11.pct_inun",0
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods12","ods12.select.kg_hab",269.71
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods12","ods12.fr_selectiva",55.39
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods13","ods13.Gasto_17perHab",41.47
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods13","ods13.Participa",1
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods15","ods15.tasaBosque",7.5
"08006","08006-arenys-de-mar","Arenys de Mar","Barcelona","Maresme",16513,"ods15","ods15.snuPerc",48.4
