Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
081424;Nou de Berguedà, la;0814240003;14;
430976;Nou de Gaià, la;4309760009;36;
430982;Nulles;4309820002;01;
251484;Odèn;2514840003;35;
081430;Òdena;0814300000;06;
171122;Ogassa;1711220002;31;
081458;Olèrdola;0814580001;03;
081461;Olesa de Bonesvalls;0814610007;03;
081477;Olesa de Montserrat;0814770005;11;
251497;Oliana;2514970005;04;
251500;Oliola;2515000000;23;
251517;Olius;2515170005;35;
081483;Olivella;0814830008;17;
081496;Olost;0814960009;43;
171143;Olot;1711430008;19;
251522;Oluges, les;2515220002;32;
081445;Olvan;0814450006;14;
251538;Omellons, els;2515380001;18;
251543;Omells de na Gaia, els;2515430008;38;
171156;Ordis;1711560009;02;
251556;Organyà;2515560009;04;
081509;Orís;0815090004;24;
081516;Oristà;0815160009;43;
081521;Orpí;0815210007;06;
081537;Òrrius;0815370005;21;
251569;Os de Balaguer;2515690004;23;
171169;Osor;1711690004;34;
251575;Ossó de Sió;2515750006;38;
081542;Pacs del Penedès;0815420002;03;
081555;Palafolls;0815550006;21;
171175;Palafrugell;1711750006;10;
171181;Palamós;1711810007;10;
251581;Palau d'Anglesola, el;2515810007;27;
171194;Palau de Santa Eulàlia;1711940003;02;
171215;Palau-sator;1712150006;10;
171208;Palau-saverdera;1712080001;02;
081568;Palau-solità i Plegamans;0815680001;40;
431009;Pallaresos, els;4310090004;36;
081574;Pallejà;0815740003;11;
430995;Palma d'Ebre, la;4309950006;30;
089058;Palma de Cervelló, la;0890580001;11;
171236;Palol de Revardit;1712360009;28;
171241;Pals;1712410007;10;
081580;Papiol, el;0815800000;11;
171254;Pardines;1712540003;31;
081593;Parets del Vallès;0815930008;41;
171267;Parlavà;1712670005;10;
431016;Passanant i Belltall;4310160009;16;
171289;Pau;1712890004;02;
431021;Paüls;4310210007;09;
171292;Pedret i Marzà;1712920002;02;
251641;Penelles;2516410007;23;
171306;Pera, la;1713060009;10;
081607;Perafita;0816070005;43;
431037;Perafort;4310370005;36;
171328;Peralada;1713280001;02;
251654;Peramola;2516540003;04;
431042;Perelló, el;4310420002;09;
081614;Piera;0816140003;06;
431055;Piles, les;4310550006;16;
081635;Pineda de Mar;0816350006;21;
431068;Pinell de Brai, el;4310680001;37;
251667;Pinell de Solsonès;2516670005;35;
251673;Pinós;2516730008;35;
431074;Pira;4310740003;16;
431080;Pla de Santa Maria, el;4310800000;01;
081640;Pla del Penedès, el;0816400000;03;
171334;Planes d'Hostoles, les;1713340003;19;
171349;Planoles;1713490004;31;
259118;Plans de Sió, els;2591180001;32;
251689;Poal, el;2516890004;27;
251692;Pobla de Cérvoles, la;2516920002;18;
081653;Pobla de Claramunt, la;0816530008;06;
081666;Pobla de Lillet, la;0816660009;14;
431093;Pobla de Mafumet, la;4310930008;36;
431107;Pobla de Massaluca, la;4311070005;37;
431114;Pobla de Montornès, la;4311140003;36;
251713;Pobla de Segur, la;2517130008;25;
431129;Poboleda;4311290004;29;
081672;Polinyà;0816720002;40;
431135;Pont d'Armentera, el;4311350006;01;
250306;Pont de Bar, el;2503060009;04;
171352;Pont de Molins;1713520002;02;
251734;Pont de Suert, el;2517340003;05;
081825;Pont de Vilomara i Rocafort, el;0818250006;07;
431418;Pontils;4314180001;16;
081688;Pontons;0816880001;03;
171365;Pontós;1713650006;02;
251728;Ponts;2517280001;23;
171371;Porqueres;1713710007;28;
431140;Porrera;4311400000;29;
171404;Port de la Selva, el;1714040003;02;
171387;Portbou;1713870005;02;
251749;Portella, la;2517490004;33;
431153;Pradell de la Teixeta;4311530008;29;
431166;Prades;4311660009;08;
431172;Prat de Comte;4311720002;37;
081691;Prat de Llobregat, el;0816910007;11;
431188;Pratdip;4311880001;08;
081712;Prats de Lluçanès;0817120002;43;
081705;Prats de Rei, els;0817050006;06;
251752;Prats i Sansor;2517520002;15;
251765;Preixana;2517650006;38;
251771;Preixens;2517710007;23;
082303;Premià de Dalt;0823030008;21;
081727;Premià de Mar;0817270005;21;
171390;Preses, les;1713900000;19;
251790;Prullans;2517900000;15;
081751;Puig-reig;0817510007;14;
171411;Puigcerdà;1714110007;15;
081748;Puigdàlber;0817480001;03;
251804;Puiggròs;2518040003;18;
431191;Puigpelat;4311910007;01;
251811;Puigverd d'Agramunt;2518110007;38;
251826;Puigverd de Lleida;2518260009;33;
081764;Pujalt;0817640003;06;
081770;Quar, la;0817700000;14;
171426;Quart;1714260009;20;
170433;Queralbs;1704330008;31;
431205;Querol;4312050006;01;
171432;Rabós;1714320002;02;
081786;Rajadell;0817860009;07;
431362;Ràpita, la;4313620002;22;
431212;Rasquera;4312120002;30;
171447;Regencós;1714470005;10;
081799;Rellinars;0817990004;40;
431227;Renau;4312270005;36;
431233;Reus;4312330008;08;
251832;Rialp;2518320002;26;
431248;Riba, la;4312480001;01;
431251;Riba-roja d'Ebre;4312510007;30;
259059;Ribera d'Ondara;2590590004;32;
251850;Ribera d'Urgellet;2518500000;04;
171450;Ribes de Freser;1714500000;31;
171463;Riells i Viabrea;1714630008;34;
431264;Riera de Gaià, la;4312640003;36;
251863;Riner;2518630008;35;
171479;Ripoll;1714790004;31;
081803;Ripollet;0818030008;40;
259139;Riu de Cerdanya;2591390004;15;
171485;Riudarenes;1714850006;34;
171498;Riudaura;1714980001;19;
431270;Riudecanyes;4312700000;08;
431286;Riudecols;4312860009;08;
171501;Riudellots de la Selva;1715010007;34;
431299;Riudoms;4312990004;08;
171518;Riumors;1715180001;02;
081810;Roca del Vallès, la;0818100000;41;
431303;Rocafort de Queralt;4313030008;16;
431310;Roda de Berà;4313100000;36;
081831;Roda de Ter;0818310007;24;
431325;Rodonyà;4313250006;01;
431331;Roquetes;4313310007;09;
171523;Roses;1715230008;02;
251898;Rosselló;2518980001;33;
431346;Rourell, el;4313460009;01;
081846;Rubí;0818460009;40;
081859;Rubió;0818590004;06;
171539;Rupià;1715390004;10;
089019;Rupit i Pruit;0890190004;24;
081878;Sabadell;0818780001;40;
081884;Sagàs;0818840003;14;
251902;Salàs de Pallars;2519020002;25;
081901;Saldes;0819010007;14;
171544;Sales de Llierca;1715440003;19;
081918;Sallent;0819180001;07;
431359;Salomó;4313590004;36;
439057;Salou;4390570005;36;
171557;Salt;1715570005;20;
251919;Sanaüja;2519190004;32;
081944;Sant Adrià de Besòs;0819440003;13;
